ATF	1.0
31	41
"Checksum_ImageFile=9af1db4c0f1930d680dfd2d4245ca79b"
"Checksum_ResultFile=f22e1e59b8203700516803ce3223a004"
"Type=Mapix Results 2"
"DateTime=2021/04/15 19:23:11"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785, 670"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h22m59_5µm_785nmGain000.tif, L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA01161_FastGreen\Joseph_2021-04-06_14h19m00_5µm.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h22m59_5µm_785nmGain000.jpg"
"RatioFormulations=W2/W1 (670/785)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4615, 2705"
"JpegBrightness=30"
"JpegContrast=79"
"JpegBalance=28"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0, 5.0"
"PMTGain=0, 10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F670 Median - B670"	"F670 Mean - B670"	"F670 Total Intensity"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"	"Ratio of Medians (670/785)"	"Ratio of Means (670/785)"	"Median of Ratios (670/785)"	"Mean of Ratios (670/785)"	"Ratios SD (670/785)"	"Sum of Medians (670/785)"	"Sum of Means (670/785)"	"Log Ratio (670/785)"	"Rgn Ratio (670/785)"	"Rgn R2 (670/785)"
1	3	2	5409.00	3201.00	139.70	0	Spot (Block1, Row2, Column3)	42745.00	42124.36	34339964.00	75.56	76.00	8.03	0.00	0.11	75.00	75.24	75.00	15.43	0.00	0.21	1.00	0.00	0.00	1.00	0.56	39973.00	0.02	71.99	73.00	42745.00	74778.22	0.00	0.00	0.00	42746.00	42124.93	15.38	0.56	0.31
1	4	2	5718.00	3209.00	145.00	0	Spot (Block1, Row2, Column4)	43491.00	41516.77	36484180.00	67.97	68.00	7.00	0.00	0.10	77.00	78.45	77.00	16.86	0.01	0.21	0.00	0.00	0.00	-9.00	-9.03	39015.00	-0.62	68.66	69.00	-4832.33	-4597.84	0.00	0.00	0.00	43482.00	41507.74	100000.00	0.64	0.41
1	5	2	6022.00	3206.00	205.65	0	Spot (Block1, Row2, Column5)	10071.50	10777.55	39427480.00	84.49	76.00	28.39	0.05	0.34	79.00	81.39	79.00	17.89	0.01	0.22	20.00	12.00	0.00	-3.00	5.49	101560.00	0.17	92.71	80.00	-3357.17	1962.22	0.00	0.00	0.00	10068.50	10783.04	100000.00	0.91	0.83
1	6	2	6319.00	3206.00	145.20	0	Spot (Block1, Row2, Column6)	43232.00	43010.07	37490016.00	80.15	80.00	7.70	0.00	0.10	82.00	109.15	82.00	91.28	0.12	0.84	0.00	0.00	0.00	-2.00	-1.85	46005.00	-0.32	81.71	81.00	-21616.00	-23224.66	0.00	0.00	0.00	43230.00	43008.21	100000.00	0.30	0.09
1	7	2	6620.00	3205.00	141.85	0	Spot (Block1, Row2, Column7)	43197.00	43047.64	35700844.00	73.49	73.00	8.98	0.00	0.12	81.00	91.12	81.00	58.85	0.05	0.65	0.00	0.00	0.00	-8.00	-7.51	40126.00	-0.30	77.36	78.00	-5399.62	-5732.69	0.00	0.00	0.00	43189.00	43040.13	100000.00	0.28	0.08
1	8	2	6913.00	3207.00	247.00	0	Spot (Block1, Row2, Column8)	36863.00	36697.14	104198768.00	81.31	82.00	9.89	0.00	0.12	81.00	82.42	81.00	13.19	0.01	0.16	8.00	0.00	0.00	1.00	0.31	143920.00	-0.08	79.01	78.00	36863.00	118096.86	0.00	0.00	0.00	36864.00	36697.45	15.17	0.97	0.95
1	1	3	4829.00	3509.00	161.75	0	Spot (Block1, Row3, Column1)	44658.50	42793.07	46288224.00	78.56	76.00	13.84	0.01	0.18	78.00	80.23	78.00	13.65	0.01	0.17	17.00	5.00	0.00	-2.00	0.56	57115.00	-0.12	79.59	78.00	-22329.25	76065.21	0.00	0.00	0.00	44656.50	42793.63	100000.00	0.44	0.19
1	2	3	5125.00	3506.00	133.95	0	Spot (Block1, Row3, Column2)	43599.00	42751.06	31373444.00	73.78	75.00	8.20	0.01	0.11	76.00	77.38	76.00	11.09	0.01	0.14	4.00	0.00	0.00	-1.00	-2.22	35782.00	-0.33	72.24	72.00	-43599.00	-19234.02	0.00	0.00	0.00	43598.00	42748.84	100000.00	0.67	0.45
1	3	3	5404.00	3510.00	135.75	0	Spot (Block1, Row3, Column3)	13035.50	13992.08	17897408.00	78.12	78.00	7.08	0.00	0.09	76.00	80.54	76.00	26.67	0.03	0.33	0.00	0.00	0.00	2.00	2.12	38906.00	-0.09	75.13	75.00	6517.75	6586.07	0.00	0.00	0.00	13037.50	13994.20	12.67	0.94	0.89
1	4	3	5714.00	3505.00	141.25	0	Spot (Block1, Row3, Column4)	43774.00	43310.61	35138952.00	79.59	77.00	12.81	0.01	0.16	78.00	79.99	78.00	20.10	0.01	0.25	10.00	0.00	0.00	-1.00	1.59	42976.00	-0.02	86.07	82.00	-43774.00	27322.17	0.00	0.00	0.00	43773.00	43312.20	100000.00	0.43	0.18
