ATF	1.0
31	41
"Checksum_ImageFile=9af1db4c0f1930d680dfd2d4245ca79b"
"Checksum_ResultFile=f22e1e59b8203700516803ce3223a004"
"Type=Mapix Results 2"
"DateTime=2021/04/15 19:23:11"
"ConfigFile="
"GalFile=L:\RPPA Service\Platform_Projects\2021-02-09_JPL_CoV-Array-7\64 pad grid.gal"
"PixelSize=5"
"Wavelengths=785, 670"
"ImageFiles=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h22m59_5µm_785nmGain000.tif, L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA01161_FastGreen\Joseph_2021-04-06_14h19m00_5µm.tif"
"GrinddingParameters=Find mode = Grid + Blocks + Spots | Max. diameter (% Dth) = 200.0 | Min. diameter (% Dth) = 50.0 | Max position offset (% pitch) = 30"
"QuantificationParameter=S/B border width (pixels) = 2.0 | Background diameter (pitch) = 2.0"
"JpegImage=L:\RPPA Service\Platform_Projects\2021-03-24_JPL_CoV-Array-9\RPPA0133_12860-V2 A01-D12_IgA_785\Joseph_2021-04-15_19h22m59_5µm_785nmGain000.jpg"
"RatioFormulations=W2/W1 (670/785)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"Normalization=None"
"ImageOrigin=3680, 2560"
"ImageSize=17760.0, 71040.0"
"JpegOrigin=4615, 2705"
"JpegBrightness=30"
"JpegContrast=79"
"JpegBalance=28"
"Creator=Mapix 9.0.0"
"Scanner=ir710IVD IR0H8_IVD 717045"
"Temperature=32.8"
"Comment="
"Velocity=35 l/s"
"LaserPower=20.0, 5.0"
"PMTGain=0, 10"
"BatchFilename=L:\RPPA Service\InnooScan\Batch methods\CoV_Array image_processing.mbt"
"Block"	"Column"	"Row"	"X"	"Y"	"Dia."	"Flags"	"ID"	"F670 Median - B670"	"F670 Mean - B670"	"F670 Total Intensity"	"F785 Mean"	"F785 Median"	"F785 SD"	"F785 |log Mean/Median|"	"F785 CV"	"B785"	"B785 Mean"	"B785 Median"	"B785 SD"	"B785 |log Mean/Median|"	"B785 CV"	"% > B785+1SD"	"% > B785+2SD"	"F785 % Sat."	"F785 Median - B785"	"F785 Mean - B785"	"F785 Total Intensity"	"SNR 785"	"ExcludedMean 785"	"ExcludedMedian 785"	"Ratio of Medians (670/785)"	"Ratio of Means (670/785)"	"Median of Ratios (670/785)"	"Mean of Ratios (670/785)"	"Ratios SD (670/785)"	"Sum of Medians (670/785)"	"Sum of Means (670/785)"	"Log Ratio (670/785)"	"Rgn Ratio (670/785)"	"Rgn R2 (670/785)"
7	4	2	14726.00	7707.00	143.60	0	Spot (Block7, Row2, Column4)	49998.00	44495.02	32881192.00	68.63	70.00	11.53	0.01	0.17	69.00	70.46	69.00	13.61	0.01	0.19	10.00	0.00	0.00	1.00	-0.37	38363.00	-0.13	63.35	62.00	49998.00	-119580.30	0.00	0.00	0.00	49999.00	44494.65	15.61	0.92	0.84
7	5	2	15023.00	7704.00	159.55	0	Spot (Block7, Row2, Column5)	12989.00	14269.32	20378312.00	76.02	76.00	15.10	0.00	0.20	71.00	70.78	71.00	12.79	0.00	0.18	30.00	10.00	0.00	5.00	5.02	53293.00	0.41	78.20	76.00	2597.80	2840.09	0.00	0.00	0.00	12994.00	14274.34	11.34	0.90	0.81
7	6	2	15326.00	7708.00	143.45	0	Spot (Block7, Row2, Column6)	50556.00	50432.41	36041984.00	62.84	67.00	15.48	0.03	0.25	72.00	116.39	72.00	180.73	0.21	1.55	0.00	0.00	0.00	-5.00	-9.16	34623.00	-0.30	71.95	73.00	-10111.20	-5503.72	0.00	0.00	0.00	50551.00	50423.25	100000.00	0.20	0.04
7	7	2	15626.00	7706.00	139.25	0	Spot (Block7, Row2, Column7)	50497.00	50185.79	34373204.00	70.61	70.00	7.89	0.00	0.11	69.00	76.54	69.00	62.15	0.05	0.81	0.00	0.00	0.00	1.00	1.61	37211.00	-0.10	73.07	73.50	50497.00	31188.58	0.00	0.00	0.00	50498.00	50187.40	15.62	0.48	0.23
7	8	2	15919.00	7706.00	247.45	0	Spot (Block7, Row2, Column8)	26515.00	28784.97	77207944.00	73.80	74.00	7.78	0.00	0.11	71.00	75.35	71.00	24.41	0.03	0.32	0.00	0.00	0.00	3.00	2.80	130554.00	-0.06	71.94	73.00	8838.33	10276.61	0.00	0.00	0.00	26518.00	28787.77	13.11	0.91	0.83
7	1	3	13827.00	8007.00	147.70	0	Spot (Block7, Row3, Column1)	52537.00	52513.57	39438312.00	61.46	61.00	10.22	0.00	0.17	66.00	68.18	66.00	16.78	0.01	0.25	2.00	0.00	0.00	-5.00	-4.54	36997.00	-0.40	63.46	63.50	-10507.40	-11558.75	0.00	0.00	0.00	52532.00	52509.03	100000.00	0.21	0.04
7	2	3	14126.00	8007.00	134.00	0	Spot (Block7, Row3, Column2)	52170.00	47403.60	29169116.00	68.74	69.00	10.09	0.00	0.15	67.00	67.58	67.00	13.32	0.00	0.20	12.00	0.00	0.00	2.00	1.74	32997.00	0.09	65.71	62.50	26085.00	27184.84	0.00	0.00	0.00	52172.00	47405.34	14.67	0.84	0.71
7	3	3	14409.00	8008.00	140.25	0	Spot (Block7, Row3, Column3)	11589.00	11697.81	13388533.00	70.40	70.00	8.70	0.00	0.12	68.00	70.65	68.00	19.52	0.02	0.28	2.00	0.00	0.00	2.00	2.40	37385.00	-0.01	72.58	73.00	5794.50	4864.16	0.00	0.00	0.00	11591.00	11700.22	12.50	0.98	0.97
7	4	3	14725.00	8007.00	140.10	0	Spot (Block7, Row3, Column4)	51480.00	48877.60	33165728.00	85.17	86.00	18.79	0.00	0.22	68.00	69.94	68.00	14.37	0.01	0.21	53.00	36.00	0.00	18.00	17.17	44887.00	1.06	76.61	71.00	2860.00	2845.93	0.00	0.00	0.00	51498.00	48894.77	11.48	0.69	0.48
7	5	3	15022.00	8009.00	135.80	0	Spot (Block7, Row3, Column5)	50802.00	49869.92	32107884.00	70.03	70.00	8.37	0.00	0.12	71.00	77.02	71.00	45.04	0.04	0.58	0.00	0.00	0.00	-1.00	-0.97	34803.00	-0.16	74.12	74.00	-50802.00	-51209.23	0.00	0.00	0.00	50801.00	49868.95	100000.00	0.54	0.29
7	6	3	15325.00	8005.00	140.80	0	Spot (Block7, Row3, Column6)	38255.00	37498.74	28258004.00	510.93	396.00	402.46	0.11	0.79	77.00	124.26	77.00	180.21	0.21	1.45	63.00	44.00	0.00	319.00	433.93	274367.00	2.15	345.60	189.50	119.92	86.42	62.58	61.87	0.12	38574.00	37932.66	6.91	0.92	0.85
7	7	3	15625.00	8012.00	136.80	0	Spot (Block7, Row3, Column7)	50513.00	47002.09	31508464.00	67.34	70.00	12.64	0.02	0.19	73.00	105.44	73.00	158.46	0.16	1.50	0.00	0.00	0.00	-3.00	-5.66	34207.00	-0.24	68.18	67.00	-16837.67	-8299.30	0.00	0.00	0.00	50510.00	46996.43	100000.00	0.85	0.72
7	8	3	15926.00	8005.00	143.15	0	Spot (Block7, Row3, Column8)	50450.00	43580.57	32852964.00	135.36	126.50	49.36	0.03	0.36	72.00	75.49	72.00	23.88	0.02	0.32	68.00	53.00	0.00	54.50	63.36	75804.00	2.51	112.08	85.50	925.69	687.78	0.00	0.00	0.00	50504.50	43643.93	9.85	0.86	0.74
7	1	4	13824.00	8305.00	138.00	0	Spot (Block7, Row4, Column1)	52708.00	49813.43	31946852.00	106.99	100.00	33.33	0.03	0.31	69.00	70.26	69.00	15.94	0.01	0.23	68.00	49.00	0.00	31.00	37.99	54565.00	2.30	93.77	84.50	1700.26	1311.22	0.00	0.00	0.00	52739.00	49851.42	10.73	0.58	0.34
7	2	4	14123.00	8304.00	150.95	0	Spot (Block7, Row4, Column2)	21320.00	21378.47	21652480.00	84.69	79.00	19.50	0.03	0.23	70.00	77.04	70.00	30.39	0.04	0.39	20.00	3.00	0.00	9.00	14.69	53098.00	0.25	84.07	77.00	2368.89	1455.72	0.00	0.00	0.00	21329.00	21393.15	11.21	0.95	0.90
7	3	4	14424.00	8308.00	144.20	0	Spot (Block7, Row4, Column3)	52232.00	52224.65	36826844.00	100.84	75.00	52.94	0.13	0.53	71.00	84.62	71.00	61.54	0.08	0.73	21.00	8.00	0.00	4.00	29.84	56670.00	0.26	96.90	70.00	13058.00	1750.37	0.00	0.00	0.00	52236.00	52254.48	13.67	0.05	0.00
7	4	4	14710.00	8305.00	144.50	0	Spot (Block7, Row4, Column4)	51966.00	51545.28	36985216.00	70.23	72.00	8.64	0.01	0.12	69.00	74.21	69.00	34.19	0.03	0.46	0.00	0.00	0.00	3.00	1.23	39893.00	-0.12	63.09	64.00	17322.00	41765.69	0.00	0.00	0.00	51969.00	51546.51	14.08	0.61	0.37
7	5	4	15038.00	8286.00	232.70	0	Spot (Block7, Row4, Column5)	2619.50	2729.12	26284132.00	71.75	73.00	10.46	0.01	0.15	70.00	75.09	70.00	31.22	0.03	0.42	0.00	0.00	0.00	3.00	1.75	111638.00	-0.11	74.24	75.00	873.17	1562.37	0.00	0.00	0.00	2622.50	2730.87	9.77	0.94	0.89
7	6	4	15332.00	8307.00	166.50	0	Spot (Block7, Row4, Column6)	50902.00	48743.03	49180296.00	73.43	72.00	12.72	0.01	0.17	73.00	73.33	73.00	15.71	0.00	0.21	15.00	0.00	0.00	-1.00	0.43	56984.00	0.01	68.62	68.00	-50902.00	112572.84	0.00	0.00	0.00	50901.00	48743.46	100000.00	0.61	0.37
7	7	4	15630.00	8301.00	144.15	0	Spot (Block7, Row4, Column7)	33747.00	34791.81	28171960.00	74.14	74.00	9.76	0.00	0.13	72.00	74.09	72.00	19.51	0.01	0.26	1.00	0.00	0.00	2.00	2.14	42035.00	0.00	69.96	72.00	16873.50	16289.80	0.00	0.00	0.00	33749.00	34793.95	14.04	0.98	0.96
7	8	4	15926.00	8304.00	136.75	0	Spot (Block7, Row4, Column8)	50625.50	48483.01	31886664.00	65.78	65.00	11.83	0.01	0.18	73.00	72.41	73.00	11.81	0.00	0.16	6.00	0.00	0.00	-8.00	-7.22	33087.00	-0.56	68.59	69.00	-6328.19	-6714.47	0.00	0.00	0.00	50617.50	48475.79	100000.00	0.71	0.51
7	1	5	13830.00	8608.00	137.15	0	Spot (Block7, Row5, Column1)	52794.00	52782.59	33417284.00	72.27	73.00	7.46	0.00	0.10	71.00	98.35	71.00	116.15	0.14	1.18	0.00	0.00	0.00	2.00	1.27	36857.00	-0.22	74.93	76.00	26397.00	41605.95	0.00	0.00	0.00	52796.00	52783.86	14.69	0.18	0.03
7	2	5	14121.00	8605.00	139.10	0	Spot (Block7, Row5, Column2)	52584.00	50313.26	33087456.00	119.81	94.00	58.17	0.11	0.49	71.00	83.34	71.00	51.46	0.07	0.62	38.00	31.00	0.00	23.00	48.81	62662.00	0.71	103.44	70.00	2286.26	1030.74	0.00	0.00	0.00	52607.00	50362.07	11.16	0.47	0.22
7	3	5	14420.00	8606.00	153.95	0	Spot (Block7, Row5, Column3)	52542.00	50044.82	41164068.00	180.23	103.00	139.25	0.24	0.77	71.00	86.13	71.00	63.80	0.08	0.74	42.00	32.00	0.00	32.00	109.23	117692.00	1.47	145.33	79.00	1641.94	458.15	83.93	79.77	0.06	52574.00	50154.05	10.68	0.28	0.08
7	4	5	14724.00	8608.00	142.45	0	Spot (Block7, Row5, Column4)	52529.00	52518.49	36104288.00	76.12	75.00	12.94	0.01	0.17	70.00	77.38	70.00	48.97	0.04	0.63	0.00	0.00	0.00	5.00	6.12	41940.00	-0.03	71.08	71.50	10505.80	8586.85	0.00	0.00	0.00	52534.00	52524.61	13.36	0.11	0.01
7	5	5	15022.00	8606.00	138.90	0	Spot (Block7, Row5, Column5)	52226.00	52224.75	34274420.00	127.84	102.00	57.82	0.10	0.45	71.00	76.35	71.00	30.61	0.03	0.40	50.00	37.00	0.00	31.00	56.84	66860.00	1.68	108.79	87.00	1684.71	918.81	0.00	0.00	0.00	52257.00	52281.59	10.72	0.06	0.00
7	6	5	15325.00	8605.00	139.30	0	Spot (Block7, Row5, Column6)	51349.00	50235.75	33692832.00	65.83	65.00	8.28	0.01	0.13	70.00	74.23	70.00	27.17	0.03	0.37	0.00	0.00	0.00	-5.00	-4.17	34427.00	-0.31	70.64	72.00	-10269.80	-12035.41	0.00	0.00	0.00	51344.00	50231.57	100000.00	0.57	0.32
7	7	5	15625.00	8605.00	165.15	0	Spot (Block7, Row5, Column7)	51075.00	46298.85	45934136.00	104.34	103.00	30.71	0.01	0.29	71.00	74.11	71.00	19.34	0.02	0.26	60.00	42.00	0.00	32.00	33.34	78878.00	1.56	91.53	81.00	1596.09	1388.86	0.00	0.00	0.00	51107.00	46332.19	10.64	0.62	0.38
7	8	5	15929.00	8608.00	137.70	0	Spot (Block7, Row5, Column8)	51103.00	51103.00	33423104.00	76.20	78.00	9.34	0.01	0.12	73.00	74.79	73.00	18.58	0.01	0.25	1.00	0.00	0.00	5.00	3.20	38863.00	0.08	72.12	72.00	10220.60	15959.92	0.00	0.00	0.00	51108.00	51106.20	13.32	1.00	1.00
7	1	6	13823.00	8906.00	137.10	0	Spot (Block7, Row6, Column1)	52873.00	46152.15	29877788.00	303.00	178.00	257.18	0.23	0.85	72.00	103.77	72.00	117.06	0.16	1.13	48.00	37.00	0.00	106.00	231.00	153922.00	1.70	255.96	88.50	498.80	199.80	83.59	82.71	0.06	52979.00	46383.14	8.96	0.65	0.42
7	2	6	14119.00	8908.00	145.15	0	Spot (Block7, Row6, Column2)	52874.00	46522.61	33912468.00	86.55	89.00	22.27	0.01	0.26	72.00	95.21	72.00	103.03	0.12	1.08	0.00	0.00	0.00	17.00	14.55	49592.00	-0.08	80.66	74.00	3110.24	3197.87	0.00	0.00	0.00	52891.00	46537.15	11.60	0.89	0.79
7	3	6	14409.00	8902.00	138.25	0	Spot (Block7, Row6, Column3)	52702.00	50008.52	32489308.00	85.65	88.00	17.13	0.01	0.20	70.00	71.28	70.00	16.56	0.01	0.23	52.00	13.00	0.00	18.00	15.65	44281.00	0.87	77.50	79.00	2927.89	3195.45	0.00	0.00	0.00	52720.00	50024.17	11.52	0.85	0.72
7	4	6	14721.00	8905.00	137.90	0	Spot (Block7, Row6, Column4)	52819.00	52813.56	33616920.00	70.45	71.00	10.17	0.00	0.14	71.00	70.63	71.00	12.33	0.00	0.17	9.00	0.00	0.00	0.00	-0.55	36140.00	-0.01	68.33	70.00	100000.00	-95735.95	0.00	0.00	0.00	52819.00	52813.01	100000.00	0.14	0.02
7	5	6	15025.00	8907.00	135.65	0	Spot (Block7, Row6, Column5)	52456.00	52425.30	32490372.00	81.09	79.00	27.61	0.01	0.34	70.00	70.46	70.00	12.28	0.00	0.17	33.00	9.00	0.00	9.00	11.09	40222.00	0.87	78.67	76.00	5828.44	4726.09	0.00	0.00	0.00	52465.00	52436.39	12.51	0.07	0.00
7	6	6	15322.00	8905.00	136.00	0	Spot (Block7, Row6, Column6)	51767.00	48120.79	31006500.00	89.23	84.00	18.43	0.03	0.21	70.00	72.38	70.00	16.07	0.01	0.22	39.00	19.00	0.00	14.00	19.23	44703.00	1.05	82.98	77.00	3697.64	2502.70	0.00	0.00	0.00	51781.00	48140.02	11.85	0.57	0.33
7	7	6	15626.00	8903.00	143.05	0	Spot (Block7, Row6, Column7)	51688.00	51688.00	36372224.00	66.62	67.00	8.77	0.00	0.13	70.00	70.12	70.00	11.44	0.00	0.16	4.00	0.00	0.00	-3.00	-3.38	36973.00	-0.31	67.18	68.00	-17229.33	-15283.35	0.00	0.00	0.00	51685.00	51684.62	100000.00	1.00	1.00
7	8	6	15942.00	8909.00	138.30	0	Spot (Block7, Row6, Column8)	51457.00	51456.07	33815840.00	78.02	76.50	9.92	0.01	0.13	72.00	71.90	72.00	11.06	0.00	0.15	29.00	4.00	0.00	4.50	6.02	40258.00	0.55	74.62	74.00	11434.89	8548.40	0.00	0.00	0.00	51461.50	51462.09	13.48	0.12	0.01
7	1	7	13822.00	9206.00	144.15	0	Spot (Block7, Row7, Column1)	35517.50	35131.83	26745816.00	107.16	96.00	45.29	0.05	0.42	70.00	74.18	70.00	24.28	0.03	0.33	51.00	34.00	0.00	26.00	37.16	60226.00	1.36	101.05	87.00	1366.06	945.33	0.00	0.00	0.00	35543.50	35168.99	10.42	0.98	0.96
7	2	7	14119.00	9203.00	135.30	0	Spot (Block7, Row7, Column2)	52910.00	49792.84	30897048.00	63.93	64.00	7.93	0.00	0.12	71.00	73.95	71.00	22.43	0.02	0.30	0.00	0.00	0.00	-7.00	-7.07	31644.00	-0.45	68.83	67.00	-7558.57	-7040.12	0.00	0.00	0.00	52903.00	49785.77	100000.00	0.78	0.61
7	3	7	14414.00	9209.00	156.95	0	Spot (Block7, Row7, Column3)	16723.00	18916.46	21335076.00	61.51	62.00	6.60	0.00	0.11	68.00	67.98	68.00	11.19	0.00	0.16	0.00	0.00	0.00	-6.00	-6.49	41397.00	-0.58	63.93	65.00	-2787.17	-2915.22	0.00	0.00	0.00	16717.00	18909.97	100000.00	0.96	0.93
7	4	7	14723.00	9206.00	135.70	0	Spot (Block7, Row7, Column4)	52802.00	44023.21	28037740.00	76.35	76.00	9.85	0.00	0.13	70.00	71.15	70.00	24.01	0.01	0.34	5.00	0.00	0.00	6.00	6.35	37719.00	0.22	74.94	74.00	8800.33	6928.15	0.00	0.00	0.00	52808.00	44029.57	13.10	0.84	0.70
7	5	7	15026.00	9206.00	145.65	0	Spot (Block7, Row7, Column5)	52483.50	50922.42	36977232.00	72.80	74.00	13.64	0.01	0.19	71.00	70.95	71.00	11.24	0.00	0.16	28.00	3.00	0.00	3.00	1.80	42080.00	0.17	65.54	66.00	17494.50	28246.84	0.00	0.00	0.00	52486.50	50924.22	14.09	0.69	0.47
7	6	7	15327.00	9205.00	142.40	0	Spot (Block7, Row7, Column6)	33777.00	33856.45	26042744.00	98.18	97.00	22.23	0.01	0.23	73.00	97.83	73.00	158.68	0.13	1.62	0.00	0.00	0.00	24.00	25.18	54096.00	0.00	94.43	82.00	1407.38	1344.69	0.00	0.00	0.00	33801.00	33881.62	10.46	0.99	0.97
7	7	7	15633.00	9199.00	150.25	0	Spot (Block7, Row7, Column7)	35802.50	35487.79	30407876.00	76.86	77.00	10.96	0.00	0.14	72.00	73.30	72.00	15.41	0.01	0.21	20.00	0.00	0.00	5.00	4.86	47651.00	0.23	76.46	75.00	7160.50	7307.35	0.00	0.00	0.00	35807.50	35492.64	12.81	0.99	0.97
7	8	7	15923.00	9205.00	147.00	-50	Spot (Block7, Row7, Column8)	103.00	389.15	8414483.00	76.95	74.00	15.90	0.02	0.21	73.00	73.08	73.00	11.35	0.00	0.16	30.00	13.00	0.00	1.00	3.95	45556.00	0.34	83.72	79.00	103.00	98.45	35.34	33.87	0.20	104.00	393.11	6.69	0.48	0.23
7	1	8	13823.00	9515.00	163.90	0	Spot (Block7, Row8, Column1)	52864.00	47750.25	45014264.00	77.97	77.00	9.39	0.01	0.12	68.00	67.98	68.00	10.59	0.00	0.16	46.00	12.00	0.00	9.00	9.97	58084.00	0.94	75.87	75.50	5873.78	4791.75	0.00	0.00	0.00	52873.00	47760.22	12.52	0.80	0.64
7	2	8	14122.00	9504.00	137.85	0	Spot (Block7, Row8, Column2)	52944.00	48249.15	31272060.00	71.74	71.00	9.06	0.00	0.13	70.00	69.65	70.00	11.10	0.00	0.16	16.00	0.00	0.00	1.00	1.74	36872.00	0.19	70.67	72.00	52944.00	27802.82	0.00	0.00	0.00	52945.00	48250.89	15.69	0.79	0.63
7	3	8	14428.00	9505.00	133.35	0	Spot (Block7, Row8, Column3)	52764.50	51436.85	30498700.00	73.79	74.00	12.67	0.00	0.17	69.00	68.21	69.00	11.06	0.01	0.16	32.00	7.00	0.00	5.00	4.79	35049.00	0.50	67.32	68.00	10552.90	10744.28	0.00	0.00	0.00	52769.50	51441.64	13.37	0.66	0.44
7	4	8	14720.00	9506.00	173.90	0	Spot (Block7, Row8, Column4)	52719.00	52622.85	55165532.00	124.05	81.00	85.62	0.19	0.69	69.00	70.93	69.00	24.03	0.01	0.34	32.00	24.00	0.00	12.00	55.05	104571.00	2.21	119.31	77.00	4393.25	955.97	0.00	0.00	0.00	52731.00	52677.89	12.10	0.07	0.01
7	5	8	15012.00	9505.00	143.05	0	Spot (Block7, Row8, Column5)	52558.00	51830.93	36033500.00	74.38	75.00	7.71	0.00	0.10	69.00	71.03	69.00	23.81	0.01	0.34	0.00	0.00	0.00	6.00	5.38	41354.00	0.14	72.93	73.00	8759.67	9638.12	0.00	0.00	0.00	52564.00	51836.31	13.10	0.64	0.41
7	6	8	15328.00	9506.00	146.15	0	Spot (Block7, Row8, Column6)	52349.00	52047.66	37901080.00	399.96	108.00	529.50	0.57	1.32	72.00	92.70	72.00	156.65	0.11	1.69	31.00	26.00	0.00	36.00	327.96	232374.00	1.96	389.97	88.00	1454.14	158.70	47.83	47.54	0.14	52385.00	52375.62	10.51	0.09	0.01
7	7	8	15616.00	9507.00	147.75	0	Spot (Block7, Row8, Column7)	52158.00	52149.92	39382024.00	78.37	78.00	9.64	0.00	0.12	73.00	93.70	73.00	157.21	0.11	1.68	0.00	0.00	0.00	5.00	5.37	47101.00	-0.10	78.30	79.00	10431.60	9709.45	0.00	0.00	0.00	52163.00	52155.29	13.35	0.12	0.01
7	8	8	15906.00	9508.00	146.45	0	Spot (Block7, Row8, Column8)	51776.00	51742.86	38318912.00	83.13	83.00	13.83	0.00	0.17	75.00	74.00	75.00	10.93	0.01	0.15	41.00	9.00	0.00	8.00	8.13	48630.00	0.83	82.92	84.00	6472.00	6365.84	0.00	0.00	0.00	51784.00	51750.98	12.66	0.09	0.01
8	1	1	18334.00	7410.00	165.85	0	Spot (Block8, Row1, Column1)	50553.00	50548.30	50000128.00	517.11	192.00	540.21	0.43	1.04	92.00	125.99	92.00	217.78	0.14	1.73	46.00	34.00	0.00	100.00	425.11	394553.00	1.80	405.97	104.00	505.53	118.91	47.87	53.47	0.17	50653.00	50973.41	8.98	0.04	0.00
8	2	1	18631.00	7404.00	134.35	0	Spot (Block8, Row1, Column2)	41559.00	39228.29	26334808.00	101.00	101.00	11.56	0.00	0.11	90.00	117.26	90.00	194.66	0.11	1.66	0.00	0.00	0.00	11.00	11.00	49188.00	-0.08	94.69	90.00	3778.09	3565.54	0.00	0.00	0.00	41570.00	39239.30	11.88	0.94	0.89
8	3	1	18932.00	7408.00	136.20	0	Spot (Block8, Row1, Column3)	50556.00	50275.55	32627520.00	97.33	98.00	8.56	0.00	0.09	90.00	90.14	90.00	9.98	0.00	0.11	41.00	8.00	0.00	8.00	7.33	48666.00	0.72	93.43	93.00	6319.50	6857.00	0.00	0.00	0.00	50564.00	50282.89	12.63	0.40	0.16
8	4	1	19228.00	7404.00	135.40	0	Spot (Block8, Row1, Column4)	50328.00	48976.50	31835244.00	95.92	95.00	15.14	0.00	0.16	91.00	91.22	91.00	10.32	0.00	0.11	34.00	15.00	0.00	4.00	4.92	47575.00	0.46	89.96	88.00	12582.00	9959.97	0.00	0.00	0.00	50332.00	48981.42	13.62	0.57	0.33
8	5	1	19520.00	7400.00	141.35	0	Spot (Block8, Row1, Column5)	49754.00	49754.00	35454720.00	94.92	95.00	7.90	0.00	0.08	91.00	91.14	91.00	10.93	0.00	0.12	23.00	0.00	0.00	4.00	3.92	51352.00	0.35	94.40	95.00	12438.50	12690.67	0.00	0.00	0.00	49758.00	49757.92	13.60	1.00	1.00
8	6	1	19812.00	7405.00	138.20	0	Spot (Block8, Row1, Column6)	49466.00	45529.64	31846724.00	85.35	85.00	7.25	0.00	0.08	90.00	89.90	90.00	10.45	0.00	0.12	2.00	0.00	0.00	-5.00	-4.65	44127.00	-0.44	87.69	88.00	-9893.20	-9795.59	0.00	0.00	0.00	49461.00	45524.99	100000.00	0.80	0.64
8	7	1	20112.00	7410.00	138.35	0	Spot (Block8, Row1, Column7)	49670.00	47361.71	32688452.00	86.61	86.00	7.59	0.00	0.09	86.00	86.18	86.00	11.04	0.00	0.13	8.00	0.00	0.00	0.00	0.61	44778.00	0.04	87.17	86.00	100000.00	77487.01	0.00	0.00	0.00	49670.00	47362.32	100000.00	0.74	0.54
8	8	1	20432.00	7399.00	151.85	0	Spot (Block8, Row1, Column8)	50574.50	50574.50	41615104.00	1135.21	1252.00	1030.06	0.04	0.91	84.00	127.30	84.00	305.32	0.18	2.40	56.00	53.00	0.00	1168.00	1051.21	720858.00	3.30	712.23	109.00	43.30	48.11	28.32	31.10	0.16	51742.50	51625.71	5.44	1.00	1.00
8	1	2	18324.00	7707.00	233.65	0	Spot (Block8, Row2, Column1)	7924.50	8465.87	36704776.00	92.05	93.00	9.09	0.00	0.10	91.00	90.41	91.00	10.87	0.00	0.12	16.00	0.00	0.00	2.00	1.05	144521.00	0.15	91.43	92.00	3962.25	8050.54	0.00	0.00	0.00	7926.50	8466.92	11.95	0.94	0.88
8	2	2	18629.00	7704.00	153.30	0	Spot (Block8, Row2, Column2)	50397.50	49737.84	42234232.00	91.68	92.00	8.49	0.00	0.09	88.00	88.62	88.00	10.09	0.00	0.11	21.00	3.00	0.00	4.00	3.68	59686.00	0.30	88.97	87.50	12599.38	13502.64	0.00	0.00	0.00	50401.50	49741.52	13.62	0.40	0.16
8	3	2	18920.00	7701.00	134.05	0	Spot (Block8, Row2, Column3)	50223.00	49642.80	31438344.00	98.82	99.00	8.75	0.00	0.09	89.00	89.44	89.00	10.33	0.00	0.12	46.00	11.00	0.00	10.00	9.82	47828.00	0.91	91.53	91.00	5022.30	5056.21	0.00	0.00	0.00	50233.00	49652.62	12.29	0.55	0.30
8	4	2	19227.00	7705.00	145.30	0	Spot (Block8, Row2, Column4)	50009.00	44401.31	34578328.00	98.05	98.00	9.99	0.00	0.10	90.00	89.67	90.00	10.85	0.00	0.12	41.00	9.00	0.00	8.00	8.05	56577.00	0.77	93.42	90.00	6251.12	5513.14	0.00	0.00	0.00	50017.00	44409.36	12.61	0.85	0.73
8	5	2	19535.00	7702.00	189.35	0	Spot (Block8, Row2, Column5)	11650.50	12092.73	28644080.00	102.43	104.00	15.06	0.01	0.15	92.00	92.05	92.00	10.80	0.00	0.12	52.00	22.00	0.00	12.00	10.43	103246.00	0.96	99.19	100.00	970.88	1159.80	0.00	0.00	0.00	11662.50	12103.16	9.92	0.95	0.89
8	6	2	19831.00	7704.00	145.25	0	Spot (Block8, Row2, Column6)	49068.00	48855.98	37561028.00	92.42	91.00	10.40	0.01	0.11	91.00	96.15	91.00	26.25	0.02	0.27	2.00	0.00	0.00	0.00	1.42	53140.00	-0.14	91.64	92.00	100000.00	34469.00	0.00	0.00	0.00	49068.00	48857.39	100000.00	0.24	0.06
8	7	2	20124.00	7706.00	141.85	0	Spot (Block8, Row2, Column7)	49302.00	49019.98	35563160.00	87.33	88.00	8.91	0.00	0.10	87.00	88.11	87.00	13.43	0.01	0.15	5.00	0.00	0.00	1.00	0.33	47597.00	-0.06	90.47	91.00	49302.00	146790.03	0.00	0.00	0.00	49303.00	49020.31	15.59	0.44	0.20
8	8	2	20417.00	7703.00	254.70	0	Spot (Block8, Row2, Column8)	26425.00	28434.33	82413320.00	94.32	94.00	8.20	0.00	0.09	86.00	89.88	86.00	21.57	0.02	0.24	5.00	0.00	0.00	8.00	8.32	176935.00	0.21	89.28	89.00	3303.12	3419.63	0.00	0.00	0.00	26433.00	28442.65	11.69	0.90	0.82
