antigen	block	intercept	slope	antigen_number	display_order	product_code	lot_number	slide_name	sample_plate	immunoglobulin	gain_normalised_intensity
S1	48	26.1632224	1.317946847	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	92.06056475
S1	49	22.86017328	2.714311212	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	158.5757339
S1	50	19.60795746	2.80502277	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	159.8590959
S1	51	21.54316605	2.727500681	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	157.9182001
S1	52	28.52333005	1.501275565	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	103.5871083
S1	53	216.4988732	45.80514447	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	2506.756097
S1	54	204.2063408	41.55591499	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	2282.00209
S1	55	149.7582005	35.63716021	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	1931.616211
S1	56	28.52285713	1.501300629	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	103.5878886
S1	57	12.0105707	1.873993624	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	105.7102519
S1	58	26.93331802	0.984655006	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	76.16606832
S1	59	22.78881512	1.329187282	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	89.24817922
S1	60	28.52679233	1.501092073	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	103.581396
S1	61	28.5256475	1.501152746	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	103.5832848
S1	62	28.56095601	1.499281487	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	103.5250304
S1	63	28.56095601	1.499281487	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	103.5250304
S1	64	28.53126595	1.500854983	1	1	40591-V08B1	NA	IgA_1	Sample_Plate_1	IgA	103.5740151
S2	1	56.99159309	11.16565692	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	615.2744391
S2	2	6.163066311	2.637213109	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	138.0237218
S2	3	70.98099435	15.95610354	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	868.7861715
S2	4	10.33959289	2.913505468	2	2	S2N-C52H5	P3840b-2087F1-T7	IgA_1	Sample_Plate_1	IgA	156.0148663
